60,ESLOY,EssilorLuxottica Société anonyme,127.14B,138.08,-0.32%,27.44B,2025-06-20
61,PIAIF,"Ping An Insurance (Group) Company of China, Ltd.",126.11B,6.11,0.49%,130.32B,2025-06-20
62,PNGAY,"Ping An Insurance (Group) Company of China, Ltd.",126.11B,12.08,1.05%,130.32B,2025-06-20
63,HTHIF,"Hitachi, Ltd.",125.62B,29.08,7.63%,65.33B,2025-06-20
64,HTHIY,"Hitachi, Ltd.",125.24B,27.23,-2.61%,65.33B,2025-06-20
65,SAFRF,Safran SA,123.26B,298.37,-1.87%,28.69B,2025-06-20
66,SAFRY,Safran SA,123.26B,74.85,-0.24%,28.69B,2025-06-20
67,PROSF,Prosus N.V.,118.95B,55.05,1.79%,5.87B,2025-06-20
68,PROSY,Prosus N.V.,118.95B,10.56,-1.49%,5.87B,2025-06-20
69,BHPLF,BHP Group Limited,118.62B,25.16,10.35%,53.97B,2025-06-20
70,AIQUF,L'Air Liquide S.A.,117.94B,206.45,-0.47%,28.01B,2025-06-20
71,AIQUY,L'Air Liquide S.A.,117.94B,41.09,-1.16%,28.01B,2025-06-20
72,IBDRY,"Iberdrola, S.A.",116.41B,75.02,0.70%,48.56B,2025-06-20
73,IBDSF,"Iberdrola, S.A.",116.41B,18.84,0.64%,48.56B,2025-06-20
74,SNYNF,Sanofi,116.12B,94.76,-6.64%,48.82B,2025-06-20
75,BCDRF,"Banco Santander, S.A.",115.98B,8.01,-2.46%,54.84B,2025-06-20
76,BTAFF,British American Tobacco p.l.c.,107.32B,49.00,-1.53%,32.38B,2025-06-20
77,CFRHF,Compagnie Financière Richemont SA,105.44B,181.08,-1.31%,23.13B,2025-06-20
78,CFRUY,Compagnie Financière Richemont SA,105.44B,18.03,-1.85%,23.13B,2025-06-20
79,CSUAY,China Shenhua Energy Company Limited,105.27B,17.71,-0.73%,44.07B,2025-06-20
80,CUAEF,China Shenhua Energy Company Limited,104.91B,4.210,-0.24%,44.07B,2025-06-20
81,ABBNY,ABB Ltd,104.75B,57.52,-0.49%,32.92B,2025-06-20
82,ABLZF,ABB Ltd,104.75B,58.21,0.93%,32.92B,2025-06-20
