Exchange Name,Country,Code,Currency,Stocks,Date of Collection
Kazakhstan Stock Exchange,Kazakhstan,KASE,KZT,19,2025-06-17
Caracas Stock Exchange,Venezuela,CCSE,VES,18,2025-06-17
Belgrade Stock Exchange,Serbia,BELEX,EUR,18,2025-06-17
Botswana Stock Exchange,Botswana,BSM,BWP,18,2025-06-17
Sapporo Stock Exchange,Japan,SPSE,JPY,17,2025-06-17
Uganda Securities Exchange,Uganda,UGSE,UGX,17,2025-06-17
Malawi Stock Exchange,Malawi,MAL,MWK,15,2025-06-17
Ljubljana Stock Exchange,Slovenia,LJSE,EUR,14,2025-06-17
Nasdaq Riga,Latvia,RSE,EUR,11,2025-06-17
Beirut Stock Exchange,Lebanon,BDB,LBP,8,2025-06-17
CBOE Europe,Europe,CHIX,EUR,6,2025-06-17
Bratislava Stock Exchange,Slovakia,BSSE,EUR,6,2025-06-17
Zimbabwe Stock Exchange,Zimbabwe,ZMSE,ZWL,5,2025-06-17
PFTS Stock Exchange,Ukraine,UKR,UAH,2,2025-06-17
